147.189.216.0/21,"ASN 4601"
193.5.16.0/22,"ASN 4601"
2a0d:3dc0::/32,"ASN 4601"
2a0d:3dc1::/33,"ASN 4601"
2a0d:3dc1:8000::/35,"ASN 4601"
2a0d:3dc1:a000::/36,"ASN 4601"
2a0d:3dc1:b000::/38,"ASN 4601"
2a0d:3dc1:b400::/42,"ASN 4601"
2a0d:3dc1:b440::/43,"ASN 4601"
2a0d:3dc1:b460::/45,"ASN 4601"
2a0d:3dc1:b468::/46,"ASN 4601"
2a0d:3dc1:b46c::/47,"ASN 4601"
2a0d:3dc1:b46e::/48,"ASN 210312"
2a0d:3dc1:b46f::/48,"ASN 4601"
2a0d:3dc1:b470::/44,"ASN 4601"
2a0d:3dc1:b480::/41,"ASN 4601"
2a0d:3dc1:b500::/40,"ASN 4601"
2a0d:3dc1:b600::/42,"ASN 4601"
2a0d:3dc1:b640::/43,"ASN 4601"
2a0d:3dc1:b660::/45,"ASN 4601"
2a0d:3dc1:b668::/46,"ASN 4601"
2a0d:3dc1:b66c::/48,"ASN 210312"
2a0d:3dc1:b66d::/48,"ASN 4601"
2a0d:3dc1:b66e::/47,"ASN 4601"
2a0d:3dc1:b670::/45,"ASN 4601"
2a0d:3dc1:b678::/46,"ASN 4601"
2a0d:3dc1:b67c::/48,"ASN 4601"
2a0d:3dc1:b67d::/48,"ASN 210312"
2a0d:3dc1:b67e::/47,"ASN 4601"
2a0d:3dc1:b680::/42,"ASN 4601"
2a0d:3dc1:b6c0::/44,"ASN 4601"
2a0d:3dc1:b6d0::/45,"ASN 4601"
2a0d:3dc1:b6d8::/46,"ASN 4601"
2a0d:3dc1:b6dc::/48,"ASN 210312"
2a0d:3dc1:b6dd::/48,"ASN 4601"
2a0d:3dc1:b6de::/47,"ASN 4601"
2a0d:3dc1:b6e0::/43,"ASN 4601"
2a0d:3dc1:b700::/44,"ASN 4601"
2a0d:3dc1:b710::/46,"ASN 4601"
2a0d:3dc1:b714::/47,"ASN 4601"
2a0d:3dc1:b716::/48,"ASN 210312"
2a0d:3dc1:b717::/48,"ASN 4601"
2a0d:3dc1:b718::/45,"ASN 4601"
2a0d:3dc1:b720::/43,"ASN 4601"
2a0d:3dc1:b740::/44,"ASN 4601"
2a0d:3dc1:b750::/47,"ASN 4601"
2a0d:3dc1:b752::/48,"ASN 210312"
2a0d:3dc1:b753::/48,"ASN 4601"
2a0d:3dc1:b754::/46,"ASN 4601"
2a0d:3dc1:b758::/45,"ASN 4601"
2a0d:3dc1:b760::/43,"ASN 4601"
2a0d:3dc1:b780::/41,"ASN 4601"
2a0d:3dc1:b800::/41,"ASN 4601"
2a0d:3dc1:b880::/43,"ASN 4601"
2a0d:3dc1:b8a0::/44,"ASN 4601"
2a0d:3dc1:b8b0::/45,"ASN 4601"
2a0d:3dc1:b8b8::/46,"ASN 4601"
2a0d:3dc1:b8bc::/47,"ASN 4601"
2a0d:3dc1:b8be::/48,"ASN 4601"
2a0d:3dc1:b8bf::/48,"ASN 210312"
2a0d:3dc1:b8c0::/43,"ASN 4601"
2a0d:3dc1:b8e0::/44,"ASN 4601"
2a0d:3dc1:b8f0::/45,"ASN 4601"
2a0d:3dc1:b8f8::/46,"ASN 4601"
2a0d:3dc1:b8fc::/47,"ASN 4601"
2a0d:3dc1:b8fe::/48,"ASN 4601"
2a0d:3dc1:b8ff::/48,"ASN 210312"
2a0d:3dc1:b900::/43,"ASN 4601"
2a0d:3dc1:b920::/45,"ASN 4601"
2a0d:3dc1:b928::/46,"ASN 4601"
2a0d:3dc1:b92c::/48,"ASN 210312"
2a0d:3dc1:b92d::/48,"ASN 4601"
2a0d:3dc1:b92e::/47,"ASN 4601"
2a0d:3dc1:b930::/44,"ASN 4601"
2a0d:3dc1:b940::/45,"ASN 4601"
2a0d:3dc1:b948::/47,"ASN 4601"
2a0d:3dc1:b94a::/48,"ASN 4601"
2a0d:3dc1:b94b::/48,"ASN 210312"
2a0d:3dc1:b94c::/46,"ASN 4601"
2a0d:3dc1:b950::/44,"ASN 4601"
2a0d:3dc1:b960::/43,"ASN 4601"
2a0d:3dc1:b980::/41,"ASN 4601"
2a0d:3dc1:ba00::/39,"ASN 4601"
2a0d:3dc1:bc00::/38,"ASN 4601"
2a0d:3dc1:c000::/34,"ASN 4601"
2a0d:3dc2::/31,"ASN 4601"
2a0d:3dc4::/30,"ASN 4601"
