1.71.0.0/20,"Blocked AS142404"
27.21.224.0/19,"Blocked AS150145"
27.30.76.0/24,"Blocked AS148981"
27.128.192.0/20,"Blocked AS140903"
27.128.208.0/20,"Blocked AS58539"
27.129.16.0/21,"Blocked AS140903"
27.129.52.0/22,"Blocked AS141771"
27.129.128.0/18,"Blocked AS140903"
27.186.0.0/15,"Blocked AS140903"
36.113.216.0/22,"Blocked AS140638"
45.113.20.0/22,"Blocked AS58539"
45.123.168.0/21,"Blocked AS141771"
45.123.176.0/21,"Blocked AS141771"
49.71.79.0/24,"Blocked AS146966"
49.71.126.0/23,"Blocked AS146966"
49.86.40.0/22,"Blocked AS146966"
58.50.186.0/24,"Blocked AS150145"
58.220.38.0/24,"Blocked AS146966"
58.220.85.0/24,"Blocked AS146966"
58.220.163.0/24,"Blocked AS146966"
58.220.164.0/24,"Blocked AS146966"
58.220.177.0/24,"Blocked AS146966"
58.220.178.0/23,"Blocked AS146966"
58.220.180.0/24,"Blocked AS146966"
58.220.188.0/24,"Blocked AS146966"
60.164.36.0/23,"Blocked AS147038"
60.164.240.0/21,"Blocked AS141998"
60.165.115.0/24,"Blocked AS141998"
60.165.116.0/24,"Blocked AS141998"
60.165.118.0/23,"Blocked AS141998"
60.165.120.0/22,"Blocked AS141998"
60.165.125.0/24,"Blocked AS141998"
60.165.126.0/23,"Blocked AS141998"
60.167.176.0/20,"Blocked AS140527"
60.170.11.0/24,"Blocked AS142608"
60.170.244.0/24,"Blocked AS142608"
61.132.32.0/24,"Blocked AS146966"
61.133.149.0/24,"Blocked AS134425"
61.133.152.0/24,"Blocked AS134425"
61.136.162.0/23,"Blocked AS148981"
61.136.164.0/24,"Blocked AS148981"
61.136.166.0/24,"Blocked AS148981"
61.136.232.0/24,"Blocked AS148981"
61.136.235.0/24,"Blocked AS148981"
61.159.80.0/22,"Blocked AS141998"
61.159.92.0/23,"Blocked AS141998"
61.159.94.0/24,"Blocked AS141998"
61.183.41.0/24,"Blocked AS148981"
61.183.42.0/24,"Blocked AS148981"
61.190.114.0/24,"Blocked AS142608"
61.191.48.0/24,"Blocked AS140083"
101.50.8.0/21,"Blocked AS141771"
101.251.128.0/20,"Blocked AS141771"
103.52.172.0/22,"Blocked AS58539"
103.63.160.0/20,"Blocked AS141771"
103.63.176.0/21,"Blocked AS141771"
103.192.8.0/21,"Blocked AS141771"
103.192.16.0/20,"Blocked AS141771"
106.8.128.0/19,"Blocked AS141771"
106.9.12.0/22,"Blocked AS140903"
106.9.36.0/23,"Blocked AS141771"
106.112.128.0/19,"Blocked AS141771"
106.118.24.0/21,"Blocked AS58539"
106.118.128.0/18,"Blocked AS141771"
106.127.128.0/21,"Blocked AS138169"
106.227.16.0/20,"Blocked AS148969"
106.227.64.0/19,"Blocked AS149837"
106.227.96.0/21,"Blocked AS148969"
110.166.24.0/22,"Blocked AS132225"
110.166.32.0/19,"Blocked AS132225"
110.166.124.0/22,"Blocked AS132225"
110.167.0.0/21,"Blocked AS132225"
110.167.28.0/24,"Blocked AS132225"
111.173.76.0/24,"Blocked AS148981"
111.173.80.0/22,"Blocked AS148981"
111.173.89.0/24,"Blocked AS148981"
111.173.104.0/22,"Blocked AS148981"
111.173.114.0/23,"Blocked AS148981"
111.173.116.0/22,"Blocked AS148981"
111.180.188.0/22,"Blocked AS148981"
111.180.192.0/20,"Blocked AS148981"
111.225.0.0/17,"Blocked AS140903"
111.225.128.0/18,"Blocked AS141771"
111.225.208.0/20,"Blocked AS58539"
111.225.240.0/20,"Blocked AS140903"
113.248.96.0/20,"Blocked AS141739"
113.248.160.0/19,"Blocked AS141739"
113.248.216.0/21,"Blocked AS141739"
113.248.224.0/19,"Blocked AS141739"
113.249.224.0/20,"Blocked AS141739"
113.250.144.0/21,"Blocked AS141739"
114.96.64.0/18,"Blocked AS140527"
114.98.176.0/21,"Blocked AS140527"
114.111.16.0/20,"Blocked AS140903"
114.230.232.0/21,"Blocked AS146966"
115.169.4.0/23,"Blocked AS58518"
115.169.11.0/24,"Blocked AS58517"
115.169.12.0/23,"Blocked AS58517"
115.169.36.0/23,"Blocked AS58518"
115.169.38.0/24,"Blocked AS58518"
115.170.218.0/23,"Blocked AS140636"
116.8.130.0/23,"Blocked AS138991"
116.8.132.0/23,"Blocked AS138991"
116.11.120.0/21,"Blocked AS138991"
116.11.248.0/24,"Blocked AS138991"
116.68.136.0/21,"Blocked AS141771"
116.68.176.0/21,"Blocked AS141771"
116.197.160.0/21,"Blocked AS141771"
116.254.104.0/21,"Blocked AS141771"
117.61.0.0/20,"Blocked AS140638"
117.61.16.0/20,"Blocked AS140636"
117.61.32.0/20,"Blocked AS140636"
117.61.48.0/21,"Blocked AS140636"
117.61.56.0/21,"Blocked AS140638"
117.61.64.0/22,"Blocked AS140638"
117.61.134.0/24,"Blocked AS140638"
117.61.143.0/24,"Blocked AS140638"
117.61.144.0/22,"Blocked AS140638"
117.61.148.0/24,"Blocked AS140638"
117.61.152.0/21,"Blocked AS140636"
117.61.160.0/19,"Blocked AS140636"
117.61.192.0/20,"Blocked AS140636"
117.66.0.0/20,"Blocked AS140083"
117.66.16.0/21,"Blocked AS132437"
117.68.0.0/19,"Blocked AS140083"
117.68.32.0/21,"Blocked AS134425"
117.68.44.0/22,"Blocked AS134425"
117.68.48.0/21,"Blocked AS134425"
117.68.64.0/20,"Blocked AS140527"
117.68.96.0/19,"Blocked AS140527"
117.71.0.0/22,"Blocked AS140083"
118.180.0.0/23,"Blocked AS141998"
118.180.4.0/24,"Blocked AS141998"
118.180.26.0/24,"Blocked AS141998"
118.180.30.0/23,"Blocked AS141998"
118.180.32.0/24,"Blocked AS141998"
118.180.38.0/23,"Blocked AS141998"
118.180.40.0/24,"Blocked AS141998"
118.180.42.0/23,"Blocked AS141998"
118.180.51.0/24,"Blocked AS141998"
118.180.54.0/24,"Blocked AS141998"
118.180.56.0/23,"Blocked AS141998"
118.180.58.0/24,"Blocked AS141998"
118.180.60.0/24,"Blocked AS141998"
118.180.62.0/23,"Blocked AS141998"
118.181.54.0/23,"Blocked AS141998"
118.182.96.0/22,"Blocked AS141998"
118.182.102.0/23,"Blocked AS141998"
118.182.224.0/21,"Blocked AS141998"
118.182.249.0/24,"Blocked AS141998"
118.182.250.0/23,"Blocked AS141998"
118.182.252.0/24,"Blocked AS141998"
118.182.255.0/24,"Blocked AS141998"
118.183.8.0/23,"Blocked AS141998"
118.183.11.0/24,"Blocked AS141998"
118.183.12.0/23,"Blocked AS141998"
118.183.14.0/24,"Blocked AS141998"
118.183.32.0/23,"Blocked AS141998"
118.183.35.0/24,"Blocked AS141998"
118.183.37.0/24,"Blocked AS141998"
118.183.40.0/24,"Blocked AS141998"
118.183.45.0/24,"Blocked AS141998"
118.183.46.0/24,"Blocked AS141998"
118.183.210.0/23,"Blocked AS141998"
119.101.148.0/24,"Blocked AS148981"
121.62.16.0/21,"Blocked AS148981"
121.62.60.0/22,"Blocked AS148981"
121.229.177.0/24,"Blocked AS146966"
121.233.208.0/23,"Blocked AS146966"
121.233.230.0/24,"Blocked AS146966"
121.233.238.0/23,"Blocked AS146966"
122.200.40.0/21,"Blocked AS141771"
123.180.128.0/19,"Blocked AS141771"
123.182.0.0/18,"Blocked AS141771"
123.183.0.0/17,"Blocked AS140903"
123.242.192.0/21,"Blocked AS141771"
123.254.96.0/21,"Blocked AS141771"
124.237.32.0/19,"Blocked AS141771"
124.237.128.0/17,"Blocked AS140903"
124.238.224.0/19,"Blocked AS58539"
124.239.0.0/19,"Blocked AS141771"
124.239.200.0/21,"Blocked AS140903"
124.239.224.0/19,"Blocked AS58539"
125.72.88.0/22,"Blocked AS132225"
125.72.130.0/23,"Blocked AS132225"
125.72.184.0/24,"Blocked AS132225"
125.74.1.0/24,"Blocked AS141998"
125.74.3.0/24,"Blocked AS141998"
125.74.4.0/23,"Blocked AS141998"
125.74.7.0/24,"Blocked AS141998"
125.74.8.0/22,"Blocked AS141998"
125.74.12.0/24,"Blocked AS141998"
125.74.14.0/24,"Blocked AS141998"
125.74.16.0/24,"Blocked AS141998"
125.74.18.0/23,"Blocked AS141998"
125.74.20.0/23,"Blocked AS141998"
125.74.23.0/24,"Blocked AS141998"
125.74.24.0/24,"Blocked AS141998"
125.74.27.0/24,"Blocked AS141998"
125.74.28.0/23,"Blocked AS141998"
125.74.30.0/24,"Blocked AS141998"
125.74.32.0/23,"Blocked AS141998"
125.74.38.0/24,"Blocked AS141998"
