45.184.80.0/22,"ASN 269323"
2804:62dc::/33,"ASN 269323"
2804:62dc:8000::/34,"ASN 269323"
2804:62dc:c000::/35,"ASN 269323"
2804:62dc:e000::/36,"ASN 269323"
2804:62dc:f000::/37,"ASN 269323"
2804:62dc:f800::/38,"ASN 269323"
2804:62dc:fc00::/39,"ASN 269323"
2804:62dc:fe00::/40,"ASN 269323"
2804:62dc:ff00::/41,"ASN 269323"
2804:62dc:ff80::/42,"ASN 269323"
2804:62dc:ffc0::/43,"ASN 269323"
2804:62dc:ffe0::/44,"ASN 269323"
2804:62dc:fff0::/45,"ASN 269323"
2804:62dc:fff8::/46,"ASN 269323"
2804:62dc:fffc::/47,"ASN 269323"
2804:62dc:fffe::/48,"ASN 269323"
