37.218.240.0/21,"ASN 47172"
45.87.175.0/24,"ASN 152460"
45.158.171.0/24,"ASN 47172"
79.110.164.0/24,"ASN 152460"
87.229.0.0/24,"ASN 152460"
103.104.244.0/24,"ASN 142592"
103.104.245.0/24,"ASN 47172"
103.104.246.0/24,"ASN 47172"
103.104.247.0/24,"ASN 152460"
151.242.251.0/24,"ASN 152460"
185.88.140.0/22,"ASN 47172"
185.200.104.0/22,"ASN 47172"
193.29.139.0/24,"ASN 47172"
195.190.28.0/24,"ASN 47172"
212.102.113.0/24,"ASN 47172"
213.108.104.0/21,"ASN 47172"
2402:20c0:1::/48,"ASN 142592"
2a00:c6c0::/48,"ASN 47172"
