46.229.59.0/24,"ASN 208965"
46.229.62.0/24,"ASN 208965"
185.157.182.0/23,"ASN 202672"
2a06:4380::/29,"ASN 51711"
2a07:5340::/29,"ASN 62177"
2a07:f600:4081::/48,"ASN 60135"
2a07:f600:4085::/48,"ASN 203914"
2a09:a200::/29,"ASN 51711"
2a0c:9480::/29,"ASN 62177"
2a0e:7f00::/29,"ASN 62177"
2a0e:c4c0::/29,"ASN 51711"
2a0f:1800::/29,"ASN 51711"
2a0f:9d00::/29,"ASN 51711"
2a11:2180::/29,"ASN 56897"
2a11:2380::/29,"ASN 60935"
2a11:2480::/29,"ASN 61192"
2a11:2980::/29,"ASN 60135"
2a11:4780::/29,"ASN 56897"
2a11:4b80::/29,"ASN 203914"
2a11:5080::/29,"ASN 60935"
2a11:5580::/29,"ASN 61192"
2a11:5640::/29,"ASN 203914"
2a11:5a80::/29,"ASN 204224"
2a11:7580::/29,"ASN 203914"
2a11:7640::/29,"ASN 49655"
2a11:7740::/29,"ASN 203942"
2a11:7d80::/29,"ASN 61192"
2a11:8180::/29,"ASN 56897"
2a11:9140::/29,"ASN 49655"
2a11:92c0::/29,"ASN 203942"
2a11:adc0::/29,"ASN 49655"
2a11:afc0::/29,"ASN 203942"
2a11:d0c0::/29,"ASN 49655"
2a11:d1c0::/29,"ASN 203942"
2a11:e700::/29,"ASN 60935"
2a11:ec40::/29,"ASN 49655"
2a11:ee40::/29,"ASN 203942"
2a12:40::/29,"ASN 204224"
2a12:c00::/29,"ASN 204701"
2a12:2280::/29,"ASN 204701"
2a12:2300::/29,"ASN 203914"
2a12:23c0::/29,"ASN 62177"
2a12:2940::/29,"ASN 62177"
2a12:2b00::/29,"ASN 204701"
2a12:3540::/29,"ASN 60135"
2a12:4340::/29,"ASN 60135"
2a12:4380::/29,"ASN 204183"
2a12:5c80::/29,"ASN 204183"
2a12:6280::/29,"ASN 204224"
2a12:7480::/29,"ASN 204187"
2a12:7e00::/29,"ASN 204701"
2a12:9480::/29,"ASN 204224"
2a12:a100::/29,"ASN 203914"
2a12:a980::/29,"ASN 204187"
2a12:b580::/29,"ASN 60135"
2a12:b680::/29,"ASN 204183"
2a12:b800::/29,"ASN 204187"
2a12:c280::/29,"ASN 204183"
2a12:c700::/29,"ASN 204701"
2a12:df80::/29,"ASN 204187"
2a12:e580::/29,"ASN 60135"
2a12:f100::/29,"ASN 204224"
2a12:fa80::/29,"ASN 204183"
2a12:fb80::/29,"ASN 204187"
