5.102.48.0/20,"ASN 42908"
31.10.56.0/21,"ASN 196845"
45.159.116.0/22,"ASN 42908"
46.183.56.0/21,"ASN 197442"
46.231.72.0/21,"ASN 34093"
77.95.192.0/21,"ASN 39235"
78.136.128.0/18,"ASN 42908"
80.78.136.0/22,"ASN 42908"
80.79.0.0/22,"ASN 42908"
80.87.176.0/20,"ASN 35214"
80.90.128.0/20,"ASN 35214"
80.243.236.0/22,"ASN 42908"
80.251.240.0/20,"ASN 39235"
88.81.64.0/19,"ASN 34093"
91.187.32.0/19,"ASN 34093"
92.61.80.0/20,"ASN 34093"
93.92.48.0/21,"ASN 35214"
93.93.32.0/21,"ASN 199101"
94.241.64.0/18,"ASN 42908"
109.108.96.0/19,"ASN 196845"
176.102.128.0/19,"ASN 57564"
178.17.80.0/20,"ASN 48474"
185.78.12.0/22,"ASN 28851"
185.82.236.0/22,"ASN 34093"
185.108.60.0/22,"ASN 196845"
185.157.240.0/22,"ASN 39235"
188.119.96.0/22,"ASN 42908"
193.42.128.0/22,"ASN 34093"
193.107.252.0/22,"ASN 196978"
195.137.182.0/24,"ASN 202522"
213.19.0.0/17,"ASN 28851"
213.155.32.0/19,"ASN 28851"
213.250.192.0/18,"ASN 28851"
217.170.96.0/20,"ASN 48474"
217.196.112.0/20,"ASN 48474"
217.197.144.0/20,"ASN 34093"
2001:67c:13c4::/48,"ASN 42908"
2a00:e4c0::/32,"ASN 42908"
2a01:9f40::/29,"ASN 199101"
2a02:2088:1000::/36,"ASN 57564"
2a02:2428::/32,"ASN 196845"
2a02:2588::/29,"ASN 28851"
2a03:1600::/32,"ASN 34093"
2a03:7a00::/32,"ASN 42908"
2a03:a820::/32,"ASN 39235"
2a07:cc80::/29,"ASN 42908"
2a0c:8b40::/29,"ASN 42908"
